datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
408789.5,1119,3,24,24-Mar-1119 12:00:00,284.843353271484,286.096282958984,283.590393066406
408820,1119,4,24,24-Apr-1119 00:00:00,285.082977294922,286.629974365234,283.535980224609
408850.5,1119,5,24,24-May-1119 12:00:00,285.026336669922,286.533386230469,283.519287109375
408881,1119,6,24,24-Jun-1119 00:00:00,284.293731689453,285.019134521484,283.568328857422
408911.5,1119,7,24,24-Jul-1119 12:00:00,282.654144287109,281.738037109375,283.570220947266
408942.5,1119,8,24,24-Aug-1119 12:00:00,281.051605224609,278.677551269531,283.425659179688
408973,1119,9,24,24-Sep-1119 00:00:00,281.011810302734,278.775360107422,283.248260498047
409003.5,1119,10,24,24-Oct-1119 12:00:00,282.048400878906,280.88427734375,283.212524414062
409034,1119,11,24,24-Nov-1119 00:00:00,283.052337646484,282.762908935547,283.341766357422
409064.5,1119,12,24,24-Dec-1119 12:00:00,283.688659667969,284.004852294922,283.372467041016
409095.5,1120,1,24,24-Jan-1120 12:00:00,284.147918701172,284.8271484375,283.468688964844
409125.5,1120,2,23,23-Feb-1120 12:00:00,284.529571533203,285.481903076172,283.577239990234
409155.5,1120,3,24,24-Mar-1120 12:00:00,284.870025634766,286.122985839844,283.617095947266
409186,1120,4,24,24-Apr-1120 00:00:00,285.109161376953,286.656158447266,283.562164306641
409216.5,1120,5,24,24-May-1120 12:00:00,285.052032470703,286.55908203125,283.544982910156
409247,1120,6,24,24-Jun-1120 00:00:00,284.318939208984,285.044342041016,283.593536376953
409277.5,1120,7,24,24-Jul-1120 12:00:00,282.678833007812,281.762756347656,283.594940185547
409308.5,1120,8,24,24-Aug-1120 12:00:00,281.075836181641,278.701782226562,283.449890136719
409339,1120,9,24,24-Sep-1120 00:00:00,281.035583496094,278.799133300781,283.272003173828
409369.5,1120,10,24,24-Oct-1120 12:00:00,282.071716308594,280.907592773438,283.23583984375
409400,1120,11,24,24-Nov-1120 00:00:00,283.075225830078,282.785797119141,283.364654541016
409430.5,1120,12,24,24-Dec-1120 12:00:00,283.711151123047,284.02734375,283.394989013672
409461.5,1121,1,24,24-Jan-1121 12:00:00,284.170043945312,284.849273681641,283.490844726562
409491,1121,2,23,23-Feb-1121 00:00:00,284.551361083984,285.503692626953,283.599029541016
409520.5,1121,3,24,24-Mar-1121 12:00:00,284.891510009766,286.144470214844,283.638580322266
409551,1121,4,24,24-Apr-1121 00:00:00,285.13037109375,286.677368164062,283.583374023438
409581.5,1121,5,24,24-May-1121 12:00:00,285.073028564453,286.580078125,283.565979003906
409612,1121,6,24,24-Jun-1121 00:00:00,284.339752197266,285.065155029297,283.614349365234
409642.5,1121,7,24,24-Jul-1121 12:00:00,282.699493408203,281.783416748047,283.615600585938
409673.5,1121,8,24,24-Aug-1121 12:00:00,281.096405029297,278.722351074219,283.470458984375
409704,1121,9,24,24-Sep-1121 00:00:00,281.056091308594,278.819671630859,283.292541503906
409734.5,1121,10,24,24-Oct-1121 12:00:00,282.092224121094,280.928131103516,283.25634765625
409765,1121,11,24,24-Nov-1121 00:00:00,283.095794677734,282.806365966797,283.385223388672
409795.5,1121,12,24,24-Dec-1121 12:00:00,283.731872558594,284.048034667969,283.415679931641
409826.5,1122,1,24,24-Jan-1122 12:00:00,284.19091796875,284.8701171875,283.511688232422
409856,1122,2,23,23-Feb-1122 00:00:00,284.572448730469,285.524780273438,283.6201171875
409885.5,1122,3,24,24-Mar-1122 12:00:00,284.912902832031,286.165832519531,283.659942626953
409916,1122,4,24,24-Apr-1122 00:00:00,285.152099609375,286.699096679688,283.605102539062
409946.5,1122,5,24,24-May-1122 12:00:00,285.095153808594,286.602203369141,283.588104248047
